NM_PARLA,COD_PARLA,STATE,PARTY,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1
ALEXANDRE BALDY,416,Goiás,PODE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALEXANDRE BALDY,416,Goiás,PSDB,92,9,5,81,0.77979058,0.92513369,0.844718933,0.255537122,0,0,0
ALEXANDRE BALDY,416,Goiás,PTN,109,7,7,78,0.795061529,0.930348259,0.642293453,-0.036660936,0,0,0
ALEXANDRE BALDY,416,Goiás,Podemos,20,4,0,13,0.816793799,0.891891892,0.540348411,-0.707422733,0,0,0
ALEXANDRE LEITE,334,São Paulo,DEM,245,30,20,230,0.780985057,0.904761905,0.77091378,0.065041728,0,0,0
ALEXANDRE SERFIOTIS,284,Rio de Janeiro,PMDB,161,18,14,133,0.766556203,0.901840491,0.422857642,0.095458098,0,0,0
ALEXANDRE SERFIOTIS,284,Rio de Janeiro,PSD,150,32,35,136,0.663550675,0.8101983,0.461742789,0.058772661,0,0,0
ALEXANDRE VALLE,285,Rio de Janeiro,PMB,13,2,0,10,0.829088986,0.92,0.024651404,-0.487344801,0,0,0
ALEXANDRE VALLE,285,Rio de Janeiro,PR,187,20,6,152,0.833085537,0.928767123,0.409811378,-0.469228953,0,0,0
ALEXANDRE VALLE,285,Rio de Janeiro,PRP,113,26,13,74,0.686849058,0.827433628,0.06904617,-0.296418786,0,0,0
ALFREDO KAEFER,451,Paraná,PP,37,1,1,24,0.886443317,0.968253968,0.757551491,-0.596272647,0,0,0
ALFREDO KAEFER,451,Paraná,PSDB,82,9,5,81,0.809455216,0.920903955,0.807144761,0.075977847,0,0,0
ALFREDO KAEFER,451,Paraná,PSL,138,10,9,97,0.832051337,0.92519685,0.610213459,-0.706816256,0,0,0
ALFREDO NASCIMENTO,36,Amazonas,PR,298,39,27,254,0.780498743,0.893203883,0.194914475,-0.725218534,0,0,0
ALICE PORTUGAL,180,Bahia,PCdoB,221,33,39,442,0.791528642,0.902040816,-0.56544596,0.43767035,0,0,0
ALIEL MACHADO,441,Paraná,PCdoB,75,20,13,76,0.70969969,0.820652174,-0.237740889,0.652064383,0,0,0
ALIEL MACHADO,441,Paraná,PSB,19,1,8,57,0.772729695,0.894117647,-0.256627768,0.335863978,0,0,0
ALIEL MACHADO,441,Paraná,REDE,77,29,41,190,0.638652205,0.792284866,-0.243547752,0.969888866,0,0,0
ALOYSIO NUNES FERREIRA,847,São Paulo,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALTINEU CÔRTES,286,Rio de Janeiro,PMDB,140,4,4,126,0.884001136,0.97080292,0.494716763,-0.801253796,0,0,0
ALTINEU CÔRTES,286,Rio de Janeiro,PR,145,11,5,94,0.80329895,0.937254902,0.142137557,-0.703421593,0,0,0
ALUISIO MENDES,68,Maranhão,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALUISIO MENDES,68,Maranhão,PODE,19,0,0,7,0.9453457,1,0.666613996,0.068633057,0,0,0
ALUISIO MENDES,68,Maranhão,PSDC,106,20,9,77,0.731048644,0.863207547,-0.179760247,-0.926613986,0,0,0
ALUISIO MENDES,68,Maranhão,PTN,86,21,19,64,0.606209099,0.789473684,0.005866001,-0.999982893,0,0,0
ALUISIO MENDES,68,Maranhão,Podemos,58,2,3,35,0.828973651,0.948979592,0.477979243,-0.065417796,0,0,0
ANA AMÉLIA,860,Rio Grande do Sul,PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANA PERUGINI,332,São Paulo,PT,215,18,12,356,0.854458928,0.950083195,-0.636976898,0.123000585,0,0,0
ANDERSON FERREIRA,142,Pernambuco,PR,151,13,8,103,0.808605552,0.923636364,0.128391713,-0.73994559,0,0,0
ANDRE MOURA,174,Sergipe,PSC,214,18,26,121,0.797191799,0.883905013,0.545619249,-0.30475533,0,0,0
ANDRES SANCHEZ,341,São Paulo,PT,233,15,18,365,0.826201856,0.94770206,-0.542117357,-0.022741159,0,0,0
ANDRÉ ABDON,9,Amapá,PP,240,4,2,185,0.918293953,0.986078886,0.570728719,-0.647140622,0,0,0
ANDRÉ ABDON,9,Amapá,PRB,129,22,8,85,0.742302239,0.87704918,-0.008869418,-0.469783068,0,0,0
ANDRÉ AMARAL,583,Paraíba,PMDB,131,14,4,96,0.82099247,0.926530612,0.487603754,-0.408209831,0,0,0
ANDRÉ AMARAL,583,Paraíba,PROS,34,3,2,28,0.813529909,0.925373134,0.750187218,-0.363447607,0,0,0
ANDRÉ DE PAULA,140,Pernambuco,PSD,174,9,14,148,0.831299961,0.933333333,0.464889318,0.029276904,0,0,0
ANDRÉ FIGUEIREDO,89,Ceará,PDT,173,23,46,341,0.766340792,0.881646655,-0.272700965,0.320451438,0,0,0
ANDRÉ FUFUCA,72,Maranhão,PEN,130,18,16,74,0.716620445,0.857142857,0.186239287,-0.562021375,0,0,0
ANDRÉ FUFUCA,72,Maranhão,PP,99,2,2,82,0.89254427,0.978378378,0.513299763,-0.858209431,0,0,0
ANGELA ALBINO,559,Santa Catarina,PCdoB,61,5,3,116,0.869506657,0.956756757,-0.592959583,0.300621063,0,0,0
ANGELA PORTELA,815,Roraima,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANGELA PORTELA,815,Roraima,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANGELIM,52,Acre,PT,254,13,18,457,0.843024909,0.958221024,-0.599400938,0.111232273,0,0,0
ANTONIO ANASTASIA,898,Minas Gerais,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANTONIO BALHMANN,93,Ceará,PDT,16,1,9,37,0.752808273,0.841269841,-0.177111849,0.103351712,0,0,0
ANTONIO BALHMANN,93,Ceará,PROS,55,13,9,34,0.638064802,0.801801802,0.005677879,-0.470542848,0,0,0
ANTONIO BRITO,189,Bahia,PSD,173,25,34,142,0.708241761,0.842245989,0.149982005,-0.387646973,0,0,0
ANTONIO BRITO,189,Bahia,PTB,121,17,22,78,0.672715068,0.836134454,0.178443357,-0.13486281,0,0,0
ANTONIO BULHÕES,333,São Paulo,PRB,349,51,35,299,0.761521518,0.882833787,0.224112242,-0.599990129,0,0,0
ANTONIO CARLOS MENDES THAME,519,São Paulo,PSDB,62,15,3,59,0.710896432,0.870503597,0.736466229,0.67614907,0,0,0
ANTONIO CARLOS MENDES THAME,519,São Paulo,PV,79,44,21,73,0.48586446,0.700460829,0.050763555,-0.998710692,0,0,0
ANTONIO CARLOS VALADARES,829,Sergipe,PSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANTONIO IMBASSAHY,191,Bahia,PSDB,241,13,11,210,0.848608315,0.949473684,0.901583672,0.432604879,0,0,0
ANTÔNIO JÁCOME,121,Rio Grande do Norte,PMN,86,24,34,67,0.570527971,0.725118483,0.432323009,0.159669295,0,0,0
ANTÔNIO JÁCOME,121,Rio Grande do Norte,PODE,15,0,0,10,0.945104182,1,0.661123216,0.077170134,0,0,0
ANTÔNIO JÁCOME,121,Rio Grande do Norte,PTN,79,11,15,79,0.704926193,0.858695652,0.097008549,-0.095891237,0,0,0
ANTÔNIO JÁCOME,121,Rio Grande do Norte,Podemos,65,10,13,54,0.718757808,0.838028169,0.27078709,-0.071425572,0,0,0
ANÍBAL GOMES,87,Ceará,DEM,20,1,0,19,0.897045255,0.975,0.501808882,-0.003946363,0,0,0
ANÍBAL GOMES,87,Ceará,PMDB,170,12,6,118,0.859015286,0.941176471,0.239146724,-0.890370429,0,0,0
ARIOSTO HOLANDA,555,Ceará,PDT,51,8,20,81,0.688458622,0.825,-0.189546853,0.197544485,0,0,0
ARIOSTO HOLANDA,555,Ceará,PROS,37,1,4,22,0.895577669,0.921875,-0.690122843,-0.513207138,0,0,0
ARLINDO CHINAGLIA,336,São Paulo,PT,217,8,5,316,0.871777773,0.976190476,-0.662417591,-0.050591573,0,0,0
ARMANDO MONTEIRO,823,Pernambuco,PTB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARNALDO FARIA DE SÁ,337,São Paulo,PP,33,16,8,38,0.557926893,0.747368421,-0.277643234,-0.906763434,0,0,0
ARNALDO FARIA DE SÁ,337,São Paulo,PTB,149,80,142,220,0.531427205,0.624365482,-0.00026574,1,0,0,0
ARNALDO JARDIM,339,São Paulo,PPS,35,4,0,37,0.812063575,0.947368421,0.514453888,0.790187418,0,0,0
ARNALDO JORDY,18,Pará,PPS,212,45,79,288,0.606786609,0.801282051,0.138000667,0.847106457,0,0,0
ARNON BEZERRA,90,Ceará,PTB,178,21,14,102,0.746382952,0.888888889,0.092078216,-0.742275953,0,0,0
AROLDE DE OLIVEIRA,288,Rio de Janeiro,PSC,91,16,6,96,0.753223538,0.894736842,0.555904448,0.142658398,0,0,0
AROLDE DE OLIVEIRA,288,Rio de Janeiro,PSD,41,1,0,37,0.88644284,0.987341772,0.544028044,-0.041026589,0,0,0
ARTHUR LIRA,162,Alagoas,PP,270,19,12,195,0.815526247,0.9375,0.45277524,-0.891624629,0,0,0
ARTHUR OLIVEIRA MAIA,192,Bahia,DEM,22,1,1,25,0.92641741,0.959183673,0.731919229,0.135658011,0,0,0
ARTHUR OLIVEIRA MAIA,192,Bahia,PPS,156,5,9,102,0.851267695,0.948529412,0.630817056,-0.225493029,0,0,0
ARTHUR OLIVEIRA MAIA,192,Bahia,Solidaried,78,8,12,49,0.752604365,0.863945578,0.749309003,0.108961575,0,0,0
ARTHUR VIRGÍLIO BISNETO,37,Amazonas,PSDB,202,14,10,188,0.850790143,0.942028986,0.8471331,0.525425911,0,0,0
ASSIS CARVALHO,111,Piauí,PT,226,9,13,405,0.853739023,0.966309342,-0.583322108,-0.012291464,0,0,0
ASSIS DO COUTO,443,Paraná,PDT,130,8,51,290,0.757822871,0.876826722,-0.25355491,0.177872032,0,0,0
ASSIS DO COUTO,443,Paraná,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSIS DO COUTO,443,Paraná,PT,119,7,8,84,0.831033051,0.931192661,-0.5101524,-0.240176484,0,0,0
ASSIS MELO,597,Rio Grande do Sul,PCdoB,42,5,7,118,0.806618869,0.930232558,-0.497204244,0.56294471,0,0,0
ATAÍDES OLIVEIRA,949,Tocantins,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATILA  A. NUNES,564,Rio de Janeiro,PMDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATILA  A. NUNES,564,Rio de Janeiro,PSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUGUSTO CARVALHO,411,Distrito Federal,Solidaried,297,56,90,348,0.654914141,0.815423515,0.275571942,0.866969168,0,0,0
AUGUSTO COUTINHO,528,Pernambuco,Solidaried,300,37,27,296,0.794600368,0.903030303,0.809474349,0.228048325,0,0,0
AUREO,290,Rio de Janeiro,Solidaried,251,33,30,228,0.754806519,0.883763838,0.597712576,0.318263084,0,0,0
AÉCIO NEVES,843,Minas Gerais,PSDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BACELAR,184,Bahia,PODE,11,1,11,11,0.546610951,0.647058824,-0.937221527,-0.348734707,0,0,0
BACELAR,184,Bahia,PTN,180,28,77,203,0.621925175,0.784836066,-0.648107767,0.021433052,0,0,0
BACELAR,184,Bahia,Podemos,55,9,40,92,0.642524242,0.75,-0.738021553,-0.67477715,0,0,0
BALEIA ROSSI,342,São Paulo,MDB,23,1,1,28,0.884841561,0.962264151,0.770933449,0.108905599,0,0,0
BALEIA ROSSI,342,São Paulo,PMDB,348,25,30,232,0.801951706,0.913385827,0.347606659,-0.549130619,0,0,0
BEBETO,185,Bahia,PSB,209,33,87,242,0.624704361,0.789842382,-0.069803275,0.659255743,0,0,0
BENEDITA DA SILVA,291,Rio de Janeiro,PT,237,6,6,339,0.874205768,0.979591837,-0.606716692,-0.090426594,0,0,0
BENEDITO DE LIRA,874,Alagoas,PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BENITO GAMA,190,Bahia,PTB,329,23,27,274,0.827067375,0.923430322,0.615864515,-0.099413484,0,0,0
BENJAMIN MARANHÃO,131,Paraíba,MDB,20,2,1,24,0.8311885,0.936170213,0.583923936,-0.339445949,0,0,0
BENJAMIN MARANHÃO,131,Paraíba,PMDB,17,1,0,12,0.916020393,0.966666667,0.426121622,0.055012248,0,0,0
BENJAMIN MARANHÃO,131,Paraíba,Solidaried,262,37,35,257,0.748847783,0.878172589,0.64943558,0.227168649,0,0,0
BETINHO GOMES,141,Pernambuco,PSDB,344,34,27,332,0.783518493,0.917232022,0.735462666,0.677565277,0,0,0
BETO FARO,19,Pará,PT,272,8,9,473,0.869254947,0.977690289,-0.5946334,-0.068883799,0,0,0
BETO MANSUR,340,São Paulo,MDB,18,5,1,23,0.788546264,0.872340426,0.773370624,0.633954167,0,0,0
BETO MANSUR,340,São Paulo,PMDB,11,1,0,10,0.873164713,0.954545455,1,0,0,0,0
BETO MANSUR,340,São Paulo,PRB,211,21,10,147,0.820203602,0.920308483,0.326191992,-0.797063291,0,0,0
BETO ROSADO,122,Rio Grande do Norte,PP,238,24,22,153,0.769186974,0.894736842,0.35594517,-0.386356831,0,0,0
BETO SALAME,20,Pará,PP,154,17,15,120,0.758691728,0.895424837,0.266008794,-0.349893332,0,0,0
BETO SALAME,20,Pará,PROS,121,12,17,71,0.712229967,0.868778281,-0.21894224,-0.21989511,0,0,0
BETO SALAME,20,Pará,S.Part.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BILAC PINTO,232,Minas Gerais,DEM,26,2,0,41,0.868233502,0.971014493,0.481500447,0.432287842,0,0,0
BILAC PINTO,232,Minas Gerais,PR,289,27,17,227,0.824334681,0.921428571,0.303550541,-0.608679533,0,0,0
BLAIRO MAGGI,838,Mato Grosso,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOHN GASS,499,Rio Grande do Sul,PT,245,19,10,470,0.852680445,0.961021505,-0.620080709,0.10371647,0,0,0
BONIFÁCIO DE ANDRADA,222,Minas Gerais,DEM,19,0,1,26,0.887738407,0.97826087,0.66360116,-0.666759312,0,0,0
BONIFÁCIO DE ANDRADA,222,Minas Gerais,PSDB,188,24,13,173,0.800169587,0.907035176,0.780370414,0.22378543,0,0,0
BOSCO COSTA,582,Sergipe,PROS,24,16,24,22,0.39809522,0.534883721,-0.127117977,0.007467339,0,0,0
BRUNA FURLAN,335,São Paulo,PSDB,182,16,6,154,0.838762105,0.938547486,0.846521795,0.367087692,0,0,0
BRUNNY,223,Minas Gerais,PMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRUNNY,223,Minas Gerais,PR,95,11,8,79,0.766004324,0.901554404,0.34549126,-0.262221009,0,0,0
BRUNNY,223,Minas Gerais,PTC,85,23,14,56,0.65431273,0.792134831,-0.053613812,-0.238772854,0,0,0
BRUNO ARAÚJO,146,Pernambuco,PSDB,166,13,6,174,0.872393429,0.947075209,0.925899267,0.360922962,0,0,0
BRUNO COVAS,343,São Paulo,PSDB,185,19,15,188,0.785678089,0.916461916,0.729836106,0.683622241,0,0,0
CABO DACIOLO,289,Rio de Janeiro,Avante,17,2,18,32,0.537176013,0.710144928,-0.377502173,0.731873989,0,0,0
CABO DACIOLO,289,Rio de Janeiro,PEN,6,1,7,12,0.576446891,0.692307692,-0.598010004,-0.801488757,0,0,0
CABO DACIOLO,289,Rio de Janeiro,PSOL,33,5,11,47,0.641694903,0.833333333,0.026111705,0.999659061,0,0,0
CABO DACIOLO,289,Rio de Janeiro,PTdoB,75,12,93,144,0.627934515,0.675925926,-0.903590322,0.428397566,0,0,0
CABO DACIOLO,289,Rio de Janeiro,Patriota,25,1,7,19,0.760643303,0.846153846,-0.732867479,-0.680371404,0,0,0
CABO DACIOLO,289,Rio de Janeiro,S.Part.,48,11,18,61,0.586787581,0.789855072,0.019628055,0.999807417,0,0,0
CABO SABINO,94,Ceará,Avante,29,12,9,23,0.615963101,0.712328767,0.0474547,-0.967878103,0,0,0
CABO SABINO,94,Ceará,PR,218,56,56,178,0.618613362,0.779527559,0.211177513,0.00667793,0,0,0
CABUÇU BORGES,14,Amapá,MDB,20,1,4,24,0.772334516,0.897959184,0.389442623,0.411851525,0,0,0
CABUÇU BORGES,14,Amapá,PMDB,342,22,22,241,0.834063709,0.929824561,0.292534053,-0.660492837,0,0,0
CACÁ LEÃO,193,Bahia,PP,358,16,16,250,0.852828622,0.95,0.330940217,-0.844634056,0,0,0
CAETANO,196,Bahia,PT,233,7,18,356,0.837453127,0.959283388,-0.577440381,0.123228058,0,0,0
CAIO NARCIO,225,Minas Gerais,PSDB,256,21,18,253,0.81912744,0.928832117,0.755165994,0.592772543,0,0,0
CAJAR NARDES,577,Rio Grande do Sul,PR,147,13,20,107,0.778574288,0.885017422,0.494207412,0.312312424,0,0,0
CAJAR NARDES,577,Rio Grande do Sul,Podemos,61,11,9,58,0.70074749,0.856115108,0.260018736,-0.083155654,0,0,0
CAPITÃO AUGUSTO,346,São Paulo,PR,364,69,43,298,0.706235051,0.855297158,0.22714223,-0.387995332,0,0,0
CAPITÃO FÁBIO ABREU,112,Piauí,PR,52,5,4,47,0.789311826,0.916666667,0.222762227,-0.079534583,0,0,0
CAPITÃO FÁBIO ABREU,112,Piauí,PTB,9,4,2,6,0.481648326,0.714285714,0.016500097,-0.130341426,0,0,0
CARLOS ANDRADE,3,Roraima,PHS,311,65,40,240,0.702337861,0.839939024,0.255596191,-0.318528086,0,0,0
CARLOS BEZERRA,400,Mato Grosso,MDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CARLOS BEZERRA,400,Mato Grosso,PMDB,269,28,17,175,0.769272029,0.90797546,0.27723816,-0.661942244,0,0,0
CARLOS EDUARDO CADOCA,530,Pernambuco,PCdoB,130,20,14,111,0.721829295,0.876363636,-0.457430303,0.19371973,0,0,0
CARLOS EDUARDO CADOCA,530,Pernambuco,PDT,172,10,8,138,0.835450292,0.945121951,0.585028112,-0.265841931,0,0,0
CARLOS EDUARDO CADOCA,530,Pernambuco,S.Part.,9,1,4,6,0.603011012,0.75,-0.276888311,0.527749598,0,0,0
CARLOS GOMES,492,Rio Grande do Sul,PRB,322,55,35,288,0.757449746,0.871428571,0.277306348,-0.436565936,0,0,0
CARLOS HENRIQUE GAGUIM,60,Tocantins,DEM,53,0,0,52,0.950070798,1,0.696766734,-0.086991809,0,0,0
CARLOS HENRIQUE GAGUIM,60,Tocantins,PMB,10,1,4,12,0.736599803,0.814814815,0.107799545,-0.121376187,0,0,0
CARLOS HENRIQUE GAGUIM,60,Tocantins,PMDB,150,6,12,87,0.794540763,0.929411765,0.319443166,-0.894745171,0,0,0
CARLOS HENRIQUE GAGUIM,60,Tocantins,PODE,22,0,0,16,0.962085783,1,0.803385556,-0.595459223,0,0,0
CARLOS HENRIQUE GAGUIM,60,Tocantins,PTN,140,4,7,117,0.885319054,0.958955224,0.437911302,-0.611747384,0,0,0
CARLOS HENRIQUE GAGUIM,60,Tocantins,Podemos,55,5,2,48,0.816281617,0.936363636,0.505256295,-0.610569596,0,0,0
CARLOS MANATO,275,Espírito Santo,PSL,48,5,2,46,0.82472235,0.930693069,0.450349718,-0.018126467,0,0,0
CARLOS MANATO,275,Espírito Santo,Solidaried,314,43,50,295,0.722268581,0.867521368,0.594283938,0.361399293,0,0,0
CARLOS MARUN,433,Mato Grosso do Sul,PMDB,264,24,10,175,0.80157882,0.928118393,0.334275812,-0.574894071,0,0,0
CARLOS MELLES,226,Minas Gerais,DEM,252,27,20,196,0.804290593,0.905050505,0.738677263,-0.123667203,0,0,0
CARLOS SAMPAIO,338,São Paulo,PSDB,175,13,11,157,0.807301044,0.93258427,0.766163766,0.642645359,0,0,0
CARLOS SOUZA,606,Amazonas,PSD,18,4,1,6,0.743003488,0.827586207,0.660490572,-0.750834405,0,0,0
CARLOS SOUZA,606,Amazonas,PSDB,22,2,4,24,0.780474305,0.884615385,0.470162421,0.031433344,0,0,0
CARLOS ZARATTINI,398,São Paulo,PT,216,9,11,307,0.838517785,0.963167587,-0.572973788,-0.048864812,0,0,0
CARMEN ZANOTTO,477,Santa Catarina,PPS,325,40,50,331,0.743128598,0.879356568,0.473912239,0.880572081,0,0,0
CELSO JACOB,537,Rio de Janeiro,MDB,22,1,2,29,0.844054163,0.944444444,0.788373351,0.199795246,0,0,0
CELSO JACOB,537,Rio de Janeiro,PMDB,312,13,15,215,0.855172813,0.94954955,0.318693489,-0.947857857,0,0,0
CELSO MALDANER,472,Santa Catarina,MDB,22,1,1,23,0.887333393,0.957446809,0.622110188,-0.13280414,0,0,0
CELSO MALDANER,472,Santa Catarina,PMDB,348,45,41,260,0.743106484,0.876080692,0.313068688,-0.414602429,0,0,0
CELSO PANSERA,292,Rio de Janeiro,PMDB,242,47,40,157,0.649390578,0.820987654,0.068479627,-0.692347884,0,0,0
CELSO PANSERA,292,Rio de Janeiro,PT,11,3,4,62,0.829067826,0.9125,-0.463589221,0.532356024,0,0,0
CELSO RUSSOMANNO,347,São Paulo,PRB,282,50,34,204,0.721603036,0.852631579,0.278291255,-0.568608701,0,0,0
CESAR SOUZA,479,Santa Catarina,PSD,196,36,31,137,0.698420346,0.8325,0.240550265,-0.263512224,0,0,0
CHICO ALENCAR,295,Rio de Janeiro,PSOL,198,54,35,503,0.767369986,0.887341772,-0.394339234,0.918964982,0,0,0
CHICO D ANGELO,293,Rio de Janeiro,PT,180,11,8,266,0.851008117,0.959139785,-0.681695998,0.062242985,0,0,0
CHICO D`AGELO,293,Rio de Janeiro,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHICO D´ANGELO,293,Rio de Janeiro,PDT,18,2,7,52,0.807427466,0.886075949,-0.227474123,0.247017369,0,0,0
CHICO D´ANGELO,293,Rio de Janeiro,PT,35,7,5,106,0.808493793,0.921568627,-0.607415497,0.547359526,0,0,0
CHICO LOPES,88,Ceará,PCdoB,222,28,42,370,0.778579414,0.894259819,-0.566582859,0.412297308,0,0,0
